8.2,REQUIRED,mcc_generated_files\system\system.h:54:43,"Function types shall be in prototype form with named parameters"
7.2,REQUIRED,mcc_generated_files\crc\src\crc.c:111:16,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,mcc_generated_files\crc\src\crc.c:144:22,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,mcc_generated_files\crc\src\crc.c:154:78,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,mcc_generated_files\crc\src\crc.c:156:80,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
8.4,REQUIRED,mcc_generated_files\crc\src\crc.c:496:47,"A compatible declaration shall be visible when an object or function with external linkage is defined"
10.4,REQUIRED,mcc_generated_files\crc\src\crc.c:397:15,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
10.4,REQUIRED,mcc_generated_files\crc\src\crc.c:403:34,"Both operands of an operator in which the usual arithmetic conversions are performed shall have the same essential type category"
19.2,ADVISORY,mcc_generated_files\crc\src\crc.c:71:5,"The union keyword should not be used"
19.2,ADVISORY,mcc_generated_files\crc\src\crc.c:78:0,"The union keyword should not be used"
7.2,REQUIRED,mcc_generated_files\system\reset_types.h:67:26,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
15.6,REQUIRED,mcc_generated_files\system\src\clock.c:102:5,"The body of an iteration-statement or a selection-statement shall be a compound-statement"
15.6,REQUIRED,mcc_generated_files\system\src\clock.c:103:5,"The body of an iteration-statement or a selection-statement shall be a compound-statement"
7.2,REQUIRED,mcc_generated_files\system\src\dmt.c:68:14,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,mcc_generated_files\system\src\dmt.c:109:38,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,mcc_generated_files\system\src\dmt.c:116:49,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
7.2,REQUIRED,mcc_generated_files\system\src\dmt.c:130:36,"A "u" or "U" suffix shall be applied to all integer constants that are represented in an unsigned type"
